avg_rating,image,price,title,total_review
4.3,https://m.media-amazon.com/images/I/7111s5HbOEL.__AC_SX300_SY300_QL70_ML2_.jpg,16.79,"Flea Collar for Dogs, Dog Flea Collars Kill Flea and Ticks, 2 Pack Natural Flea and Tick Prevention Collar for Dogs, Water Resistant Dog Tick Collar, One Size Fits All","22,923"
4.6,https://m.media-amazon.com/images/I/818WtiSqu8L.__AC_SX300_SY300_QL70_ML2_.jpg,43.02,"Comfort Zone Cat Calming Diffuser Refills Value Kit: 6 pack; Pheromones to Reduce Stress, Spraying & Scratching","5,153"
3.4,https://m.media-amazon.com/images/I/61DYYEb9kBL.__AC_SX300_SY300_QL70_ML2_.jpg,29.99,BarxBuddy Anti Barking Control Device (The Original Bark Training Tool) Ultrasonic Sound with LED Lights and Strap - Safe for All Dogs of All Breeds & Ages,"14,845"
4.5,https://m.media-amazon.com/images/I/81WjPYJYEdL.__AC_SX300_SY300_QL70_ML2_.jpg,12.51,"Chuckit! Flying Squirrel Fetch Dog Toy, Size Medium (9.5"" Diameter), Orange & Blue, for Medium Dog Breeds","14,019"
4.8,https://m.media-amazon.com/images/I/71YxZdaQ7yL.__AC_SX300_SY300_QL70_ML2_.jpg,9.89,CHIWAVA 36PCS 4.1'' Furry Cat Toy Mice Rattle Small Mouse Kitten Interactive Play Assorted Color,"9,780"
4.6,https://m.media-amazon.com/images/I/81ICPdJzlGL.__AC_SX300_SY300_QL70_ML2_.jpg,3.99,Catstages Lil' Avocato Dental Health Catnip Cat Chew Toy,"5,155"
4.5,https://m.media-amazon.com/images/I/71CD65-M8oL.__AC_SX300_SY300_QL70_ML2_.jpg,8.48,"Fresh News Recycled Paper Small Animal Litter Bedding, 10 Liters","1,578"
4.3,https://m.media-amazon.com/images/I/71KV0CmqLGL._AC_SY300_SX300_.jpg,9.99,"Cat Water Fountain Pump Compatible Motor, for Pet Drinking Fountain Cat Water Dispenser Replacement","3,063"
4.6,https://m.media-amazon.com/images/I/8170cWPS6qL.__AC_SX300_SY300_QL70_ML2_.jpg,11.02,"YORJA Dog Poop Bags, 360 Pet Waste Bags, 100% Leak Proof Extra Thick and Strong Corn Starch Blend","16,488"
4.5,https://m.media-amazon.com/images/I/81qsqY2WbjL.__AC_SX300_SY300_QL70_ML2_.jpg,19.79,"TonyEst Dog Toys, 4-Pack Indestructible Dog Chew Toys for Aggressive Chewers, Nylon Durable Dog Toys for Medium Large Breed, Bacon Flavored Tough Dog Bones Chew Toys for Super Chewer",175
4.7,https://m.media-amazon.com/images/I/61GuSEcWY7S.__AC_SY300_SX300_QL70_ML2_.jpg,3.99,"FLEXI Multi Box – Add on for FLEXI Retractable Leashes, Poop Bag Dispenser, Dog Treat Holder for Training, Multipurpose Box, Black","4,468"
4.6,https://m.media-amazon.com/images/I/711vhMVTtUL.__AC_SX300_SY300_QL70_ML2_.jpg,15.99,"Heeyoo Dog Pooper Scooper, Dog Poop Tray and Rake Set, Pet Waste Removal Scoop with Long Adjustable Sectional Stainless Handles","3,820"
4.7,https://m.media-amazon.com/images/I/71R+DetikyL._AC_SY300_SX300_.jpg,7.00,Lamphyface 2 Pack/Set Christmas Cat Collar Breakaway with Cute Bow Tie and Bell for Kitty Adjustable Safety Plaid,"1,819"
