avg_rating,image,price,title,total_review
4.3,https://m.media-amazon.com/images/I/91QlrgIeLOL.__AC_SX300_SY300_QL70_ML2_.jpg,226.00,"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Rose (Renewed)",741
3.9,https://m.media-amazon.com/images/I/71mOfUpkasL.__AC_SX300_SY300_QL70_ML2_.jpg,9.99,"Tablet with Keyboard, 2 in 1 Tablet, 6GB+128GB, 1TB Expand, Android 13 Tablet, 10 inch Tablet with Case, Mouse, Stylus, 8000mAh Battery, 2.4G/5G WiFi, GPS, Google Certified Tablet PC",42
4,https://m.media-amazon.com/images/I/71SS022CM8L.__AC_SX300_SY300_QL70_ML2_.jpg,89.95,"NOBKLEN Kids Tablet 10 Inch, Android 13, 4GB+64GB, 8-Core CPU, WiFi 6, 12H Battery Life, Parental Control, 1280 * 800 HD Display, Dual Cameras, Shockproof Case, Pre-Installed Educational Apps",747
4.2,https://m.media-amazon.com/images/I/61jlDVIFlyL.__AC_SY300_SX300_QL70_ML2_.jpg,179.00,"Apple iPad Air 2, 16GB, 4G + Wi-Fi - Gold (Renewed)",149
4.5,https://m.media-amazon.com/images/I/51D3B+8L7DL._AC_SY300_SX300_.jpg,799.99,"Microsoft Surface Pro 9 (2022), 13"" 2-in-1 Tablet & Laptop, Thin & Lightweight, Intel 12th Gen i5 Fast Processor for Multi-Tasking, 8GB RAM, 256GB Storage with Windows 11, Forest",518
4.4,https://m.media-amazon.com/images/I/51oP7rWVsML.__AC_SX300_SY300_QL70_ML2_.jpg,199.97,"Apple iPad Pro 10.5in with ( Wi-Fi + Cellular ) - 64GB, Space Gray (Renewed)",345
3.8,https://m.media-amazon.com/images/I/71LKw4wnk+L._AC_SY300_SX300_.jpg,57.11,YINOCHE Kids Tablet 10 inch Toddler Tablet Tablet for Kids WiFi Tablet for Toddlers Android Kids Tablets for Kids with Dual Camera 32GB Children's Tablet Touchscreen Parental Control YouTube (Pink),"1,251"
3.9,https://m.media-amazon.com/images/I/718N62+jU7S._AC_SY300_SX300_.jpg,53.95,"PRITOM Android Tablet 10 inch, M10, 2 GB RAM, 32 GB Android 10.0 Tablet, 10.1 inch IPS HD Display, GPS, FM, Quad-Core Processor, Wi-Fi (M10 Black)","2,904"
4.6,https://m.media-amazon.com/images/I/615fmgTgXVL.__AC_SX300_SY300_QL70_ML2_.jpg,249.00,"2019 Apple iPad 7th Gen (10.2 inch, Wi-Fi + Cellular, 128GB) Silver (Renewed)",42
3.6,https://m.media-amazon.com/images/I/61MItOfv8OL.__AC_SX300_SY300_QL70_ML2_.jpg,41.99,"Kids Tablet 7"" Android Toddler Tablet for kids 32GB Wifi Learning Tablet with Parent Control, Kid App Preinstalled, Educational games, Set time limits, Netflix, Youtube, ages 3-14 Boy Girl, Blue",56
3.8,https://m.media-amazon.com/images/I/61nH2tTyQBL.__AC_SX300_SY300_QL70_ML2_.jpg,13.99,"Phone and Tablet Holder for Concept 2 Rowing Machine, Adjustable Tablet Mount Made for C2 Model C&D Rower ONLY, Compatible with Tablets & Phones & iPad Up to 11” Screen Size",66
4.5,https://m.media-amazon.com/images/I/610Wf0OGU5L.__AC_SX300_SY300_QL70_ML2_.jpg,129.99,IPAD AIR 2 WI-FI 64GB GRAY (Renewed),799
4.4,https://m.media-amazon.com/images/I/819s1ozKCzL.__AC_SX300_SY300_QL70_ML2_.jpg,109.98,"Android Tablet, 10 Inch Android 12 Tablet, 8GB RAM 128GB ROM, 1TB Expand, Android Tablet with 5G WiFi, 4G/LTE, 8000 mAh Battery, Dual Camera, Bluetooth 5.0, FHD IPS Touch Screen, GPS, GMS Certified",266
4.5,https://m.media-amazon.com/images/I/61zxS-GzjZL._AC_SY300_SX300_.jpg,53.12,"Amazon Fire HD 8 Plus tablet, 8” HD Display, 32 GB, 30% faster processor, 3GB RAM, wireless charging, (2022 release), Gray","2,722"
4.4,https://m.media-amazon.com/images/I/81DbUJoVJRL.__AC_SX300_SY300_QL70_ML2_.jpg,99.99,"VNEIMQN Tablet for Kids, 10 Inch Kids Tablet, Android 13, 4GB+64GB, 8-core CPU,WiFi, 8000mAh,1280 * 800 HD Display, Cameras, Parental Control, Ages 3-12",45
4.4,https://m.media-amazon.com/images/I/71CjAUqXGsL.__AC_SX300_SY300_QL70_ML2_.jpg,169.97,"Apple iPad Mini 4, 128GB, Silver - WiFi (Renewed)",770
4.4,https://m.media-amazon.com/images/I/61pKdiWVerL.__AC_SX300_SY300_QL70_ML2_.jpg,279.00,"2019 Apple iPad Air (10.5-inch, WiFi + Cellular, 64GB) - Silver (Renewed Premium)",41
,https://m.media-amazon.com/images/I/71x33YRv7VL.__AC_SX300_SY300_QL70_ML2_.jpg,169.99,"TCL TAB 10 Gen 2, 10.4"" Wi-Fi Android Tablet 128GB, 2K Full HD Screen, 6000mAh Battery, Android 13, Slim Design, 2023 Release, US Version, Space Gray",
4.4,https://m.media-amazon.com/images/I/91QlrgIeLOL.__AC_SX300_SY300_QL70_ML2_.jpg,175.00,"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7') Rose Gold (Renewed)",632
